,Times,Devices
0,2023-09-11 18:28:21.882931,1
1,2023-09-11 18:29:40.212931,1
2,2023-09-11 18:31:11.112931,2
3,2023-09-11 18:32:16.992931,2
4,2023-09-11 18:33:39.132931,2
5,2023-09-11 18:35:09.292931,2
6,2023-09-11 18:36:16.422931,3
7,2023-09-11 18:37:19.336555,3
8,2023-09-11 18:38:20.659296,3
9,2023-09-11 18:39:23.595418,4
10,2023-09-11 18:40:37.512931,4
11,2023-09-11 18:41:43.669801,4
12,2023-09-11 18:42:44.394289,4
13,2023-09-11 18:43:44.601318,5
14,2023-09-11 18:44:47.235418,5
15,2023-09-11 18:46:01.365973,5
16,2023-09-11 18:47:04.821801,5
17,2023-09-11 18:48:07.717832,6
18,2023-09-11 18:49:11.802177,6
19,2023-09-11 18:50:11.838055,6
20,2023-09-11 18:51:12.048880,7
21,2023-09-11 18:52:14.678880,7
22,2023-09-11 18:53:15.482931,7
23,2023-09-11 18:54:16.667490,7
24,2023-09-11 18:55:18.198551,8
25,2023-09-11 18:56:21.428551,8
26,2023-09-11 18:57:22.578551,8
27,2023-09-11 18:58:22.898550,8
28,2023-09-11 18:59:24.836718,9
29,2023-09-11 19:00:24.994926,9
30,2023-09-11 19:01:25.425092,9
31,2023-09-11 19:02:27.950394,9
32,2023-09-11 19:03:29.430394,10
33,2023-09-11 19:04:29.945092,10
34,2023-09-11 19:05:30.036310,10
35,2023-09-11 19:06:30.042931,10
36,2023-09-11 19:07:31.148868,11
37,2023-09-11 19:08:31.176310,11
38,2023-09-11 19:09:31.803546,11
39,2023-09-11 19:10:33.229563,11
40,2023-09-11 19:11:33.458868,12
41,2023-09-11 19:12:34.468180,12
42,2023-09-11 19:13:35.348868,12
43,2023-09-11 19:14:35.825784,12
44,2023-09-11 19:15:35.832931,13
45,2023-09-11 19:16:37.305642,13
46,2023-09-11 19:17:37.597015,13
47,2023-09-11 19:18:38.425642,13
48,2023-09-11 19:19:40.064496,14
49,2023-09-11 19:20:40.239354,14
50,2023-09-11 19:21:40.669354,14
51,2023-09-11 19:22:41.242931,14
52,2023-09-11 19:23:42.901117,15
53,2023-09-11 19:24:44.741117,15
54,2023-09-11 19:25:45.392931,15
55,2023-09-11 19:26:45.677020,15
56,2023-09-11 19:27:45.743988,14
